News ID,Category,Subcategory,Title,Abstract,URL,click,analysis
N56873,tv,tv-gallery,Can you answer these real Jeopardy questions about TV shows?,"Culling data straight from the ""Jeopardy!"" archives, Stacker will provide a ""clue"" about TV shows and then present the answer in the form of a question on the following slide. Can you answer these real ""Jeopardy!"" questions about TV shows?",https://assets.msn.com/labs/mind/AABs6Gq.html,167925.0,"- クイズ形式の記事は読者の知識を試す面白さがある
- テレビ番組に関するクイズは、多くの人が親しみを感じる題材
- ジェパディの実際の問題を使っていることで、クイズの難易度と面白さが保証される
- 記事タイトルがクイズ形式で、読者の興味を引く
- 記事の概要で、クイズの形式と内容が明確に説明されている
- 同じ形式と題材のクイズ記事を定期的に提供することで、読者を獲得できる"
N65446,travel,traveltripideas,The most exclusive hotel in every state,"All these hotels have just one thing in common   guests just can't get enough of them. From celebrity favourites and ultra-small boutique stays to outrageously expensive suites, you'll have to either whip out the credit card or patiently wait to bag a night at one of these exclusive hotels in America.",https://assets.msn.com/labs/mind/AAJaLat.html,155006.0,"- タイトルに「最も」「全米No.1」といった強調表現を用い、読者の興味を引く
- 高級ホテルという非日常的な体験に対する人々の憧れをテーマにする
- セレブリティが訪れるホテルという著名人との接点をアピールする
- 掲載ホテルの写真を多用し、非日常的な雰囲気を伝える 
- SNSでのシェア数をアピールすることで話題性を高める"
N102458,lifestyle,shop-holidays,50 amazing gifts for every type of person and budget,Let the product experts at Reviewed help you find the perfect gifts for everyone on your list.,https://assets.msn.com/labs/mind/AAJQMdO.html,266407.0,"- 「あらゆるタイプの人」「あらゆる予算」というキーワードがあるので、多くの人に関心のある普遍的なテーマだと思われる。
- 「驚くべき」「完璧な」といった言葉でクリック率を高めている。
- 誕生日やクリスマスなどの贈り物選びのシーズンに合わせたタイミングの良い記事。
- Reviewedという信頼できる情報源からの贈り物のおすすめ記事。
- 具体的な商品のおすすめがあるため、実際に購入に結びつきやすい。"
N17575,entertainment,entertainment-celebrity,Big celebrity money moments of the last decade,"From bankruptcy filings and huge paydays to reaching billionaire status, read up on the most fascinating money news involving the stars from 2010 to 2019.",https://assets.msn.com/labs/mind/AAJeXYC.html,198977.0,"- セレブリティの金銭トラブルは注目を集める話題だ。セレブの破産や巨額の報酬、資産など金銭に関するゴシップ記事を作ることでPVを獲得できる。
- 過去10年間の出来事をまとめたリスト形式は読みやすくPVを集めやすい。時代背景を踏まえた10年間のトレンドを分析した記事を作れば再現できる。
- 著名人のスキャンダルやゴシップは関心が高く、クリック率が良い。セレブの金銭問題を扱った記事を作ればPVを獲得できる。"
N55792,entertainment,entertainment-celebrity,Stars Who Served in the Military,"Adam Driver, Jeff Bridges, Ice-T and more stars who served in the military.",https://assets.msn.com/labs/mind/AAJQC0V.html,194610.0,"- 有名人の軍歴に関する記事であるため、有名人の過去の秘話や意外な一面に関心がある読者を引きつけている
- 具体的な有名人の名前が記載されているため、その有名人のファンも記事に興味を持つ
- 軍隊経験は一般人にはなじみが薄い世界なので、著名人のそうした経験に興味が惹かれる
- 同様の著名人の過去のエピソードや意外な経歴を扱った記事を制作することで、PVを再現できる可能性がある"
N54239,news,newspolitics,America's Most and Least Popular Senators,Senators represent the interests of the residents of their home state on Capitol Hill by crafting and voting on new laws and by approving or rejecting cabinet and judicial nominations made by the president.,https://assets.msn.com/labs/mind/AAJUnHh.html,151842.0,"- アメリカの上院議員に関する記事であるため、アメリカの政治に関心のある読者を引き付ける
- 人気のある上院議員とそうでない議員の比較という興味深い切り口である
- 上院議員の支持率という具体的なデータを提示している
- 上院議員の役割について簡潔に説明しているため、政治に詳しくない読者も内容を理解しやすい
- 著名人の支持率ランキングという人気のある題材である"
N116118,finance,markets,Stocks close higher on optimism over China trade deal,"Stocks ended at record highs Thursday after the world's two largest economies reportedly agreed to remove existing trade tariffs, sparking a huge rotation into equities and out of bonds.",https://assets.msn.com/labs/mind/AAJVu7H.html,164735.0,"- 中国との貿易合意に関するニュースであるため、経済や株式市場に影響を与えそうなニュースの記事はPVが高くなりやすい。
- 中国との貿易戦争の展開に関する記事は注目を集めている。同様の貿易や外交に関する政治ニュースを掲載すればPVを獲得できる。
- 株価への影響について分析しているため、株主や投資家にとって有益な情報となっている。経済指標や企業業績など株価に影響を与えそうなニュースを掲載する。"
N95525,lifestyle,shop-holidays,105 Black Friday Deals You Can Start Shopping Today,"Save with early bird deals from stores like Walmart, Target, Amazon, Costco, Sam's Club, Kohl's, Sears, JCPenney, and Macy's, which are offering deep Black Friday discounts on the hottest products on your Christmas list   and your wish list   starting on Thanksgiving, or even sooner.",https://assets.msn.com/labs/mind/BBFu2Vk.html,331546.0,"- ブラックフライデーという人気のセールイベントをテーマにしている
- 有名ブランドのセール情報を具体的に提示している
- クリスマスプレゼントや欲しい商品のセールを強調している
- セールの開始時期を早期に知らせている"
N880,foodanddrink,recipes,65 Best Fall Soups That Will Warm You and Your Family Up All Season Long,These hearty bowls are the perfect companion for a rainy fall night.,https://assets.msn.com/labs/mind/BBNlvMD.html,169435.0,"- 季節の変わり目というタイムリーな題材を扱っている
- 家族向けの温かい料理という生活に密着した内容
- 秋の味覚を使ったレシピという実用性が高い
- 65種類というレシピのボリュームがあり、選択肢が豊富
- 秋の季節感を掴んだ見出しと写真を使う
- SNSでシェアしやすい実用的な記事形式"
N73137,lifestyle,shop-holidays,Here Are the Biggest Deals We're Anticipating for Black Friday,"The Black Friday deals for 2019 have already begun leaking out. Get a sneak peek at what to expect from popular retailers like Costco, Walmart, and Best Buy. Browse our guide and use it to plan your attack for the biggest shopping event of the year.",https://assets.msn.com/labs/mind/BBPFuKX.html,211641.0,"- ブラックフライデーは年に一度の大型セール日なので、その内容に関する記事は注目を集める
- 大手小売店のセール商品リストを掲載しているため、買い物を計画する読者にとって有用
- ブラックフライデーのセール情報は期間限定なので、タイムリーな情報となる
- コストコ、ウォルマート、ベストバイなど有名ブランドのセール情報を含んでいる
- 同様の大型セール日(サイバーマンデーなど)のセール商品リスト記事でも注目を集められる"
N41710,travel,traveltripideas,Here's the Best Small Town in Every State,"From Los Alamos, California, to Shelter Island, New York, these are the best small towns INSIDER found in every state.",https://assets.msn.com/labs/mind/BBRsUUu.html,186423.0,"- 小さな町の魅力を州ごとに紹介しているため、各州の読者にとって関心のある内容である
- 「ベスト」という言葉をタイトルに用いることで、読者の興味を引く
- 全米50州すべてを網羅しているため、多くの読者に関連性がある
- 写真を多用し視覚的に魅力を伝えている
- 町の特徴を簡潔に記述しているため、情報量が適切"
N112156,entertainment,celebrity,Welcome to the World! All of the Celebrity Babies Who've Made Their Debuts in 2019,See who's made their debut so far this year,https://assets.msn.com/labs/mind/BBSHBJd.html,169869.0,"- タイトルに著名人の名前が含まれていることで、著名人に関する記事として注目を集めやすい
- 赤ちゃんの誕生というポジティブな話題であるため、読者の共感を呼びやすい
- 2019年という最近の出来事であるためタイムリー性がある
- 複数の著名人の赤ちゃんが登場するため、関心のある著名人を探す動機付けになる
- 著名人の私生活にスポットを当てているため、プライバシーに関する興味を引く"
N72485,entertainment,celebrity,See what your favorite stars look like without makeup,"They get glammed up for red carpet events, but in their downtime, celebrities from Katie Holmes to Emma Stone prefer to let their natural beauty take center stage. Yes, just like you, stars do occasionally allow the world to see their foundation-free skin and mascara-less lashes to celebrate their freckles, little imperfections and inside-out glow, usually by way of the makeup-free selfie. They even sometimes celebrate their bare-facedness with hashtags like #wokeuplikethis and #nofilter. To see these stars without makeup   including Kate Hudson, Kim Kardashian, Gigi Hadid and all the stars you see above   check out the gallery now. For the latest beauty and style trends subscribe to our new podcast 'Get Tressed With Us' below! 34 Of Your Favorite Celebrities With Or Without Makeup!",https://assets.msn.com/labs/mind/BBTRzP9.html,190833.0,"- 著名人の素顔やプライベートな姿に関する記事は注目度が高いため、同様のコンテンツを作ることでPVを獲得できる。
- タイトルに「お気に入りのスターの素顔」というキーワードを使うことで、読者の興味を引くことができる。
- 記事本文では多くの著名人のメイクなしの写真を掲載することが重要。
- SNSでの著名人の素顔自撮りなどの話題を取り上げることも効果的。
- 著名人のプライベートな一面をのぞかせる記事は人気があるので、同様のアプローチが再現の鍵。"
N92498,music,music-awards,Country music's biggest scandals,"From Wynonna Judd's husband's arrest to the Dixie Chicks' vent about George W. Bush, relive country's biggest scandals.",https://assets.msn.com/labs/mind/BBVp1C0.html,204465.0,"- カントリー音楽界の有名人のスキャンダルという注目度の高い題材
- 有名人の私生活や疑惑、不祥事などのスキャンダル記事は注目を集める
- 具体的な有名人の名前がタイトルに含まれていることで興味を引く
- 過去の出来事を振り返る記事はノスタルジーとしての需要がある"
N100206,music,cma-awards,Top 100 country songs of all time,"Stacker counts down the top 100 country songs of all time. From old-school honky-tonk to modern country pop, this list covers the biggest hits in Billboard history.",https://assets.msn.com/labs/mind/BBVj9AW.html,193598.0,"- カントリー音楽は人気の音楽ジャンルであるため、カントリー音楽の名曲を集めた記事は注目を集めやすい。
- 「史上最高のカントリー曲100選」というリスト形式の記事は読者の興味を引きやすい。
- Billboardのチャートデータを使っているため、データに基づいたオーソリティのある選曲リストとなっている。
- 老舗から最新ヒットまで幅広い時代の名曲が含まれているため、多くの読者が自分の好きな曲を見つけられそうだ。
- 同様の「史上最高の○○100選」というリスト記事を作れば再現できそう。"
N13761,entertainment,entertainment-celebrity,Celebrity plastic surgery transformations,"See how stars like Sharon Osbourne, Cardi B, Pauly D, Kim Zolciak-Biermann, Gisele Bundchen, Kanye West and others have altered their looks.",https://assets.msn.com/labs/mind/BBVcWey.html,273318.0,"- セレブリティのプラスチックサージェリー変身という注目度の高い題材
- 有名人の外見の変化に人は関心がある
- 具体的なセレブリティの名前があることで興味を引く
- プラスチックサージェリーというタブー的な話題
- 著名人の外見の変遷やプライベートな話題を扱った記事で再現可能"
N93856,music,music-celebrity,Selena Gomez and Julia Michaels Share a Kiss Before Getting Matching Arrow Tattoos,Selena Gomez and Julia Michaels Get Matching Arrow Tattoos,https://assets.msn.com/labs/mind/BBWGfty.html,174911.0,"- Selena Gomezは著名な歌手であるため、彼女に関する記事は注目を集めやすい
- Julia Michaelsも有名な歌手なので、2人の共演はインパクトがある
- タトゥーは話題になりやすい。有名人のタトゥーに関する記事はPVが高まる傾向がある
- キスという官能的な要素がクリック率を高めている
- 有名人のプライベートな瞬間を捉えた記事は人気がある
- 同様の著名人のプライベートな瞬間を捉えた記事を作成すればPVを再現できる"
N29544,finance,finance-companies,"Walmart releases Black Friday ad with $129 Apple Watch, TV deals, electronics doorbusters","Walmart's Black Friday 2019 ad includes a 40-inch TV for $98, Apple iPad for $249, Xbox One, Playstation 4, deals on toys, Instant Pot and more.",https://assets.msn.com/labs/mind/BBWJDto.html,159878.0,"- Apple関連商品の安売りが注目を集めている。Apple製品の大幅割引をうたった記事で再現可能。
- ブラックフライデーという年に一度の大型セール情報。他の年末商戦セール情報の記事でも注目を集められる。
- ゲーム機やテレビなど家電製品の安値情報。同様の家電製品のセール情報記事で再現可能。"
N110303,finance,finance-companies,Supreme Court refuses to block lawsuit against gun manufacturer brought by Sandy Hook families,"The Supreme Court refused to shield Remington Arms Co. from potential liability for the 2012 school shooting that left 26 dead in Newtown, Conn.",https://assets.msn.com/labs/mind/BBWE9Iw.html,192155.0,"- 銃規制をめぐる議論が盛んなアメリカでは、銃乱射事件に関する記事は注目を集める。同様の事件に関する記事を作成することでPVを獲得できる。
- Sandy Hook事件は大規模な銃乱射事件であり、被害者の遺族による銃器メーカーへの訴訟は注目される話題。このような社会的インパクトの大きな事件の裁判記事はPVを稼げる。
- アメリカの最高裁判所の判断に関する記事は注目される。最高裁の重大判決に関する記事を作成すればPVを稼げる。"
N38902,music,cma-awards,Carrie Underwood Praises Miranda Lambert as 'Super Supportive': 'We Lift Each Other Up',Carrie Underwood Praises Miranda Lambert as 'Super Supportive',https://assets.msn.com/labs/mind/BBWE9aK.html,151885.0,"- カントリー音楽の人気女性アーティスト2人の関係性に関する記事であるため、カントリー音楽ファンの関心を引く
- 2人の名前がタイトルに含まれているため、検索結果で目立つ
- 「supportive」「lift each other up」といったポジティブなフレーズが含まれているため、読者の共感を得られる
- 著名人の仲の良さや支え合いをテーマにした記事は注目されやすいため、同様の記事を作成すればPVを獲得できる"
N58641,news,newscrime,"Car of Marine linked to Virginia slaying is found in South Carolina, authorities say","A car belonging to a U.S. Marine who allegedly deserted his post last month in North Carolina -- and has been on the run since being accused of murdering his mother's boyfriend in Virginia -- has been located in South Carolina, authorities said Wednesday.",https://assets.msn.com/labs/mind/BBWJUo1.html,161917.0,"- 米海兵隊員の脱走・逃亡劇というセンセーショナルな題材である
- 母親の恋人殺害という衝撃的な内容である
- 容疑者の車両が別の州で発見されたという追跡劇の展開がある
- 軍人の不祥事という人々の関心を引く題材である
- 脱走、逃亡、殺人といった犯罪性の高い話題である"
N59935,lifestyle,lifestyleroyals,Stella McCartney Deleted a Meghan Markle Instagram Post After Followers Called Her Out,Stella McCartney deleted a photo of Meghan Markle on Remembrance Day following backlash from Instagram followers.,https://assets.msn.com/labs/mind/BBWE9qh.html,155756.0,"- メーガン・マークル関連の記事は注目度が高いためPVが高かった
- ファッション関連の著名人のSNS投稿に関する記事は注目を集めやすい
- 著名人のファッションに関するマイナスイメージはPVを呼びやすい
- 記念日に関連した著名人の不適切な投稿は物議を醸しやすい
- SNS上での著名人の失敗は拡散しやすくPVが高まる"
N98178,sports,football_nfl,"Charles Rogers, former Michigan State football, Detroit Lions star, dead at 38","Charles Rogers, the former Michigan State football star whom the Detroit Lions selected with the second overall pick in 2003 NFL draft, has died.",https://assets.msn.com/labs/mind/BBWAPO6.html,260330.0,"- NFL選手の死亡という注目度の高い題材
- 元高校・大学のスター選手のその後の人生が注目される
- 2003年ドラフト2位指名の期待の星だったが、ケガとドラッグで活躍できず、その落差が話題になる
- 対象地域のファンにとっては思い入れのある選手の訃報
- 選手の才能と人生の行方をめぐる議論を呼びそう"
N72609,lifestyle,lifestylecelebstyle,Jennifer Lopez Debuted the Sleek Seasonal Bob You'll Want to Copy,*calling my hair stylist*,https://assets.msn.com/labs/mind/BBWEF0P.html,178433.0,"- Jennifer Lopezは世界的に著名な歌手であり、彼女のファッションは注目を集めている。彼女のヘアスタイルの変更は多くのファンにとって関心の的となる。
- 「Sleek Seasonal Bob」という見出しはトレンド感があり、多くの女性が真似したくなるヘアスタイルだと示唆している。
- 抜粋は読者の興味を引くのに効果的である。
- 同様に著名人のヘアスタイルの変更に関する記事は注目度が高いと考えられる。"
N88472,tv,tvnews,Lisa Vanderpump Reveals Why She Left RHOBH: 'I Don't Have Room in My Life for Nastiness',Lisa Vanderpump Reveals Why She Left RHOBH,https://assets.msn.com/labs/mind/BBWHBHb.html,182687.0,"- リアリティ番組の著名人の出演や降板に関する記事は注目度が高い。同様のリアリティ番組の出演者の番組参加や降板に関する記事を作成する。
- ゴシップ性のある著名人の私生活に関する記事はPVが高い。同様の著名人のプライベートに関する記事を作成する。  
- 著名人のスキャンダルや疑惑に関する記事は注目を集める。同様の著名人のスキャンダル記事を作成する。
- 著名人の告白や裏話に関する記事は人気がある。同様の著名人の内幕告発型の記事を作成する。"
N125945,tv,tvnews,"Tamron Hall Talks Leaving the Today Show, Jokes About Megyn Kelly's Reported Multimillion Payout",Tamron Hall Talks Losing the Today Show,https://assets.msn.com/labs/mind/BBWAYKc.html,153886.0,"- タイトルに有名人の名前(Tamron Hall)が含まれているため注目を集めやすい。有名人の名前をタイトルに含めることでPVを高められる。
- タイトルに「Today Show」という有名なテレビ番組の名前が含まれている。有名番組に関する記事は注目されやすい。
- タイトルに「Megyn Kelly」ともう一人の有名人の名前が含まれている。複数の有名人が絡む記事は注目されやすい。
- タイトルに「Multimillion Payout」といった金銭的なキーワードが含まれている。お金に関する記事は注目されやすい。
- タイトルが長くストーリ性がある。長いセンセーショナルなタイトルは注目されやすい。"
